TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
27769688,4579.01,KP,KP,SPOC,88.495682965829,6.9510848840561,5.1574302574562,0.93995100259781,"14,15,40,41,54,55"
164652245,5980.01,KP,KP,SPOC,79.583999468717,4.3996752154736,1.9748837163254,0.79136997461319,"14,40,41,53,54,55"
158657354,5986.01,KP,KP,SPOC,38.583588860326,11.040376481567,6.8872276162749,1.7423100471497,"40,41,53,54,55"
299087490,5982.01,KP,KP,SPOC,38.478761309913,5.1869736832286,12.560937578888,0.81004297733307,"40,41,53,54,55"
365007485,6877.01,KP,KP,QLP,33.5920255,6385,9.88421,0.91,"45,46,72"
388804061,5555.01,KP,KP,SPOC,32.938155711634,2.2932023448829,2.5322408250366,0.44451600313187,"45,46"
366443426,4304.03,KP,KP,SPOC,31.718020831616,2.3326321300982,2.2998048543218,1.3088300228119,"7,34,44,45,46"
120255950,4584.01,KP,KP,SPOC,31.578684711205,2.1295055093565,4.8743389072011,1.0517799854279,"40,41,53,54"
48451130,4571.01,KP,KP,SPOC,30.3599811786,6.0823745326155,11.214121596787,0.79511797428131,"40,41,54,55"
27534138,5993.01,KP,KP,SPOC,28.541055731646,10.658123076775,7.1843682691348,1.6416200399399,"40,41,54,55"
136916387,2011.02,KP,KP,SPOC,27.592071753546,3.2743015829507,2.7050278387379,1.0260699987411,"12,38,65"
14570099,5558.01,KP,KP,SPOC,26.200690784896,4.0014852506898,2.9705926434886,0.70992702245712,"44,45,46"
92226327,256.01,KP,KP,SPOC,24.73734116,2.0690509769268,1.8439453091989,0.21553499996662,"3,3"
273231214,4581.01,KP,KP,SPOC,22.342877300453,6.7001279936712,11.335503237901,1.4286400079727,"14,15,41,54,55"
435339558,6962.01,KP,KP,SPOC,21.99036193738,3.8732381431039,4.6034655237456,1.3341699838638,"42,43,44,70,71"
302773669,1573.01,KP,KP,QLP,21.2169065,3057,12.9873,1.55,"18,19,25,52,59"
7020254,4316.01,KP,KP,SPOC,20.2730282,3651,10.4386,0.86,"7,34,45,46,71"
243014114,4512.01,KP,KP,SPOC/QLP,19.5624363,6591,3.32657,0.76,"42,43,44"
243244680,5065.01,KP,KP,QLP,19.4921473,3568,5.50689,1.36,"44,45,46,72"
374180079,5520.02,KP,KP,SPOC,19.484825673615,4.8214015062502,3.4586558040937,0.73378902673721,"35,45,46"
169461816,3563.01,KP,KP,QLP,17.855232163638,7.5258229708258,14.597675311923,1.4911400079727,"14,15,54,55"
164458714,4589.01,KP,KP,SPOC,17.8335899,3642,2.16267,1.43,"14,26,40,41,53,54,55,74,75"
18310799,5087.01,KP,KP,QLP,17.3070631,3646,3.7275,0.77,"43,44,70,71"
73717937,819.01,KP,KP,SPOC,16.2546802,4.74,9.68176,1.32,"10,11,37"
123357864,6005.01,KP,KP,SPOC,16.145589817182,4.5431710785952,3.5634669513522,0.73299497365952,"14,26,40,41,53,54,55"
366443426,4304.01,KP,KP,SPOC,15.5718552,4931,2.44317,1.31,"7,34,44,45,46,61,72"
115010361,5163.01,KP,KP,QLP,15.4658691,3.16,5.07911,1.02,"23,46,50"
257774438,4648.01,KP,KP,SPOC,15.394885878,3.6822028584305,2.2841428636092,1.0622999668121,"42,43"
330690135,5170.01,KP,KP,SPOC,14.756501494468,4.9375033182692,5.73956169727,1.201740026474,"44,45,46,72"
374180079,5520.01,KP,KP,SPOC,14.698912471348,3.9539653088693,3.2456136659513,0.73378902673721,"35,45,46"
149969625,5178.01,KP,KP,SPOC,14.066601406446,2.707837251396,3.1908776692086,0.8376060128212,46
17307715,5562.01,KP,KP,SPOC,13.851515811858,3.2132795530999,2.3653178341809,0.65576601028442,"43,44"
366484980,4411.01,KP,KP,SPOC,13.7748361,4454,2.67656,1.47,"7,34,44,45,46,71"
120960812,1237.01,KP,KP,SPOC,12.72038,2401,4.96046,1.48,"14,40,41,53,54"
350020859,5141.01,KP,KP,SPOC,11.814172615256,5.564935226087,6.9724932215186,1.7859799861908,"45,46"
271749758,6970.01,KP,KP,SPOC,11.71444698163,3.5131822060652,11.5337399855,0.88562899827957,75
281731203,685.01,KP,KP,QLP,11.6332127,5081,10264,1.73,"9,35,45,46,72"
136916387,2011.01,KP,KP,SPOC,11.577836208353,3.8772499007481,1.5422128566372,1.0260699987411,"12,38,65"
243200602,826.01,KP,KP,SPOC/QLP,11.5509742,3571,11.0252,1.06,"11,37,64"
366576758,514.01,KP,KP,SPOC,11.390955594329,3.7913603033111,11.162183061378,0.87593597173691,"7,44,45,46"
